Car_Name,Manufacturer,Year,Kms_Driven,Fuel_Type,Seller_Type,Transmission,No_Of_Owners,Present_Price,Selling_Price,Insurance
Maruti Suzuki Dzire Ldi,Maruti,2011,100000,Diesel,Individual,Manual,1,"7,50,000","3,10,000",Yes
Maruti Suzuki Dzire Ldi,Maruti,2011,100000,Diesel,Dealer,Manual,1,"7,50,000","3,50,000",Yes
Maruti Suzuki Dzire vdi,Maruti,2011,25000,Diesel,Individual,Manual,1,"8,50,000","3,50,000",Yes
Maruti Suzuki Dzire Zdi,Maruti,2011,50000,Diesel,Dealer,Manual,2,"9,00,000","4,00,000",Yes
Maruti Suzuki Dzire Ldi,Maruti,2011,100000,Diesel,Individual,Manual,1,"7,50,000","2,99,000",No
Hyundai Verna VGT,Hyundai,2008,115000,Diesel,Individual,Manual,1,"7,76,000","1,50,000",No
Hyundai Verna Xxi,Hyundai,2009,115000,Diesel,Individual,Manual,1,"7,37,000","1,30,000",No
Hyundai Verna SX,Hyundai,2010,90000,Diesel,Individual,Manual,1,"8,27,000","2,50,000",No
Hyundai Verna SX,Hyundai,2010,100000,Diesel,Individual,Manual,1,"8,27,000","2,60,000",Yes
Hyundai Verna ABS,Hyundai,2009,105000,Petrol,Individual,Manual,1,"7,57,000","1,20,000",No
Hyundai Verna SX ,Hyundai,2009,100000,Diesel,Individual,Automatic,1,"9,45,000","2,00,000",No
Hyundai Verna ,Hyundai,2009,102000,Petrol,Individual,Manual,1,"6,59,000","1,30,000",No
Hyundai santro Magna,Hyundai,2010,52000,Petrol,Individual,Manual,1,"4,02,000","2,00,000",No
Maruti Suzuki Brezza Vdi,Maruti,2016,50000,Diesel,Individual,Manual,1,"9,74,000","7,50,000",Yes
Maruti Suzuki Brezza Vdi,Maruti,2016,55000,Diesel,Individual,Automatic,1,"9,47,000","7,80,000",Yes
Maruti Suzuki Brezza Zdi,Maruti,2016,80000,Diesel,Individual,Manual,1,"12,50,000","7,75,000",Yes
Maruti Suzuki Alto Vxi,Maruti,2016,52000,Petrol,Individual,Manual,1,"3,95,000","2,90,000",Yes
Maruti Suzuki Alto Vxi,Maruti,2016,55000,Petrol,Individual,Manual,1,"3,95,000","2,80,000",No
Maruti  Suzuki Alto,Maruti,2012,50000,Petrol,Individual,Manual,1,"3,50,000","2,45,000",No
Maruti Suzuki Alto Lxi,Maruti,2008,75000,Petrol,Individual,Manual,1,"3,00,000","1,20,000",No
Maruti Suzuki Alto Lxi,Maruti,2008,75000,Petrol,Dealer,Manual,1,"3,00,000","1,50,000",No
Maruti Suzuki Alto Vxi,Maruti,2008,80000,Petrol,Dealer,Manual,1,"3,20,000","1,50,000",No
Maruti Suzuki Alto  Lxi(O),Maruti,2008,75000,Petrol,Individual,Manual,2,"3,50,000","1,30,000",No
Maruti Suzuki Alto Vxi,Maruti,2009,70000,Petrol,Individual,Manual,1,"3,00,000","1,25,000",No
Maruti Suzuki Alto Vxi,Maruti,2009,80000,Petrol,Dealer,Manual,1,"3,00,000","1,35,000",No
Maruti Suzuki Alto Lxi,Maruti,2010,80000,Petrol,Individual,Manual,1,"3,10,000","1,20,000",No
Maruti Suzuki Alto Lxi,Maruti,2011,75000,Petrol,Individual,Manual,2,"3,20,000","1,30,000",No
Maruti Suzuki Alto Lxi,Maruti,2011,80000,Petrol,Individual,Manual,2,"3,20,000","1,50,000",No
Maruti Suzuki Alto K10,Maruti,2011,45000,Petrol,Individual,Manual,2,"3,50,000","2,20,000",No
Maruti Suzuki Alto K10,Maruti,2011,65000,Petrol,Individual,Manual,2,"3,60,000","2,40,000",No
